nWord_title,nStanza,q3_nSyll_lg,MADmed_nSyll_lg,rstd_nSyll_lg,rhyme_abcdb,rhyme_abca,rhyme_aaaa,q1_nWord_l,MADmed_nSyll_l,SCONJ,DET,ADP,med_lenWord,PUNCT,range_lenAll,class_label
3,1,126.0,0.0,0.0,0,0,0,4.0,0.0,1,7,1,5.0,19.0,3.0,1
4,2,36.0,0.0,0.0,0,0,0,4.0,0.0,0,1,0,5.0,14.0,1.0,1
3,4,32.0,0.0,0.0,0,0,0,3.0,0.5,0,6,0,5.0,27.0,1.0,1
3,4,27.0,0.0,0.0,0,0,0,4.0,0.0,0,3,0,5.0,15.0,2.0,1
3,5,37.0,0.0,0.0,0,0,0,3.5,0.0,0,9,2,5.0,38.0,3.0,1
4,7,31.0,0.0,0.0,0,1,0,3.0,0.0,4,16,0,4.0,29.0,2.0,1
4,4,28.0,0.0,0.0,0,0,0,3.0,0.0,1,4,1,5.0,28.0,1.0,1
4,4,36.0,0.0,0.0,0,0,0,3.75,0.0,1,6,4,5.0,21.0,0.0,1
3,4,22.0,0.0,0.0,0,0,0,2.75,0.0,1,3,0,5.0,13.0,1.0,1
3,2,55.0,0.0,0.0,0,0,0,4.0,0.0,1,2,0,5.0,24.0,2.0,1
3,3,38.0,0.0,0.0,0,0,0,4.5,0.0,0,11,0,5.0,20.0,1.0,1
3,4,27.0,0.0,0.0,0,0,0,3.75,0.0,0,5,0,5.0,8.0,0.0,1
3,6,25.0,0.0,0.0,0,0,0,4.0,0.0,1,9,2,4.0,20.0,1.0,1
3,7,30.0,0.0,0.0,0,0,0,2.75,0.5,1,16,0,5.0,33.0,6.0,1
3,4,41.0,0.0,0.0,2,0,0,3.75,0.0,0,6,0,5.0,30.0,1.0,1
3,6,34.0,0.0,0.0,0,6,0,4.0,0.5,0,10,1,5.0,27.0,1.0,1
3,3,31.5,0.0,0.018,0,0,0,3.0,0.5,1,4,0,5.0,20.0,1.0,1
3,3,43.0,0.0,0.0,0,0,0,4.0,0.0,3,7,1,5.0,26.0,3.0,1
3,4,29.0,0.0,0.0,0,0,0,4.0,0.0,1,7,0,5.0,17.0,1.0,1
3,4,31.0,0.0,0.016,0,0,0,3.0,0.5,1,9,0,5.0,14.0,3.0,1
3,12,18.0,0.0,0.0,0,0,0,3.0,0.0,2,7,2,6.0,38.0,2.0,1
3,3,26.0,0.0,0.0,0,0,0,3.0,1.0,0,5,0,5.0,11.0,1.0,1
2,4,32.0,0.0,0.0,0,3,0,3.0,0.0,2,3,0,5.0,21.0,2.0,1
